filename	reference_text	transcribed_text
common_voice_he_41616601	בהם היפ הופ רגטון ריתם אנד בלוז ו מוזיקה אלקטרונית	בהם היפ הופ רגעיתון ריתם אנד בלוז ו מוזיקה אלקטרונית
common_voice_he_41616602	ב ישיבות אלה נדונו ה בקשות של נציגות ה סגל ה זוטר	ב ישיבות אלה נדונו ה בקשות של נציגות ה סגל ה זוטר
common_voice_he_41616604	לא רק יהודי הוא ילד בשבילו	לא רק יהודי הוא ילד בשבילו
common_voice_he_41616612	תבדקו מי ה אנשים ש מתקבלים ו מי ה אנשים ש לא מתקבלים	תבדקו מי ה אנשים ש מתקבלים ו מי ה אנשים ש לא מתקבלים
common_voice_he_41616613	אתה בתור ירושלמי צריך להגן על ירושלים	אתה בתור ירושלמי צריך להגן על ירושלים
common_voice_he_41616614	ו דחית ה הנחות ב מס הכנסה לא יפצו על זה	ו דחית ה הנחות ב מס הכנסה לא יפצו על זה
common_voice_he_41616616	תצא איזה בשורה גם ב נושא ה דיור	תצא זה בשורה גם ב נושא ה דיור
common_voice_he_41616617	אני אישית לא רפורמי ו לא קונסרבטיבי	אני אישית לא רפורמי ו לא קונסרבטיבי
common_voice_he_41616619	ו באמת נתמודד כאן ב זירת רעיונות מענינת	ו באמת נתמודד כאן ב זירת רעיונות מענינת
common_voice_he_41616625	מיקרוספוט מתחרה ב גוגל ב רכישת גיטהאב ב שוי אסטרונומי של מליארדים	מיקרוסופט מתחרה ב גוגל ב רכישת גיטה ב שוי אסטרונומי של מיליארדים
common_voice_he_41616629	שפור זה תרם ל שמירת ה יציבות ב אי שויון וב עני לפי הכנסה כלכלית	שפור זה תרם ל שמירת ה יציבות ב אי שויון וב עני לפי הכנסה כלכלית
common_voice_he_41616635	כדי ש נדע איפה אנחנו עומדים ו נראה איך אנחנו צריכים לטפל ב סגיה ה זאת	כדי ש נדע איפה אנחנו עומדים ו נראה איך אנחנו צריכים לטפל ב סגיה ה זאת
common_voice_he_41616636	נכון ש התחוללו שנויים מפליגים ב מזרח ה תיכון	נכון ש התחוללו שנויים מפליגים ב מזרח ה תיכון
common_voice_he_41616637	אומרים יש ב עולם נעורים היכן נעורי	אומרים יש ב עולם נעורים היכן נעורי
common_voice_he_41616638	אפשר שה דיון שם יהיה דיון פתוח	אפשר שה דיון שם יהיה דיון פתוח
common_voice_he_41616640	ו אני אנסה להסביר גם למה כמו ש הוא אמר	ו אני אנסה להסביר גם למה כמו ש הוא אמר
common_voice_he_41616642	הרי אנחנו לא רובוטים כמו ה קואליציה	הרי אנחנו לא רובוטים כמו ה קואליציה
common_voice_he_41616643	אני לא אומר ש לא אבל אם אתה הולך ל תהליך כזה	אני לא אומר ש לא אבל אם אתה הולך ל תהליך כזה
common_voice_he_41616644	במשך שעות אין כאן הצבעות שמיות	במשך שעות אין כאן הצבעות שמיות
common_voice_he_41616655	ש מגיעים ל בית ה ספר למה הם מגיעים	כש מגיעים ל בית ה ספר למה הם מגיעים
common_voice_he_41616656	שב ארץ עובדים פחות אנשים מ מה ש עבדו ב עבר	שב ארץ עובדים פחות אנשים מ מה ש עבדו ב עבר
common_voice_he_41616667	בירה זה משקה אלכוהולי ש אפשר למצא ב בר או ב פאב	בירה זה משקה אלכוהולי ש אפשר למצא ב בר או ב פאב
common_voice_he_41616687	ו אז יגידו איך אפשר לצאת מ עזה	ו אז יגידו איך אפשר לצאת מ עזה
common_voice_he_41616688	ו לפעמים ב ארבע או חמש או שש	ו לפעמים ב ארבע או חמש או שש
common_voice_he_41616697	ו מכיון ש ראינו גם ש אם לא מתקדמים ב שלושים ו אחת ב יולי הולכים לפטר מאה עובדים	ו מכיון ש ראינו ש גם אם לא מתקדמים ב שלושים ו אחת ב יולי הולכים לפטר מאה עובדים
common_voice_he_41616704	ו יעקב ו יגיד מתי הם הלכו ול איפה הם באו	ו יעקב ו יגיד מתי הם הלכו ול איפה הם באו
common_voice_he_41616707	אני שמח ש אתמול ב לילה ב בקור פתע	אני שמח ש אתמול ב לילה ב בקור פתע
common_voice_he_41616718	אנחנו נמצאים ב איזה רגע נדיר ב מהלך ה קדנציה ה זאת	אנחנו נמצאים ב איזה רגע נדיר ב מהלך ה קדנציה ה זאת
common_voice_he_41616728	פגישות ו ישיבות ש בהם נוטלים חלק כל ה גורמים ש קשורים ל הפקת ארוע כה מרכב ו סבוך	פגישות ו ישיבות ש בהם נוטלים חלק כל ה גורמים ש קשורים ל הפקת ארוע כה מרכב ו סבוך
common_voice_he_41616729	ש הצבעתו ה אחרונה היתה נגד ו היא לא נקלטה	ש הצבעתו ה אחרונה היתה נגד ו היא לא נקלטה
common_voice_he_41616730	גם מ בחינת קוי ה יסוד ו גם מ בחינת ה פילוסופיה	גם מ בחינת קוי ה יסוד ו גם מ בחינת ה פילוסופיה
common_voice_he_41616731	אנחנו מוכנים ל רצח אלף ו חמש מאות בני אדם ללא הבדל גזע	אנחנו מוכנים ל רצח אלף ו חמש מאות בני אדם ללא הבדל גזע
common_voice_he_41616740	קבוצת סיעת קדימה קבוצת סיעת חדש	קבוצת סיעת קדימה קבוצת סיעת חדש
common_voice_he_41616743	אולי היא כוללת המון נטפים	אולי היא כוללת המון נטפים
common_voice_he_41616745	שמעתי שב עיראק נהרגו ה חדש חמש מאות אנשים	שמעתי שב עיראק נהרגו ה חדש חמש מאות אנשים
common_voice_he_41616748	לחזר מ דרך ה דמים דרך ה כח וה פרענות	לחזר מ דרך ה דמים דרך ה כח וה פרענות
common_voice_he_41616756	אתמול התקים מפגש ב ירדן ב חסות ה קורטט	אתמול התקים מפגש ב ירדן ב חסות ה קורטט
common_voice_he_41616757	ו בעיות אחרות ש מזכרות ב תכנית ה מפרטת ש משרד ה בריאות הכין	ו בעיות אחרות ש מזכרות ב תכנית ה מפרטת ש משרד ה בריאות הכין
common_voice_he_41616758	עמיתי ו רעי מ ועדת ה כלכלה ש דואג ל שכבות מצוקה	אמתי ו רעי מ ועדת ה כלכלה ש דואג ל שכבות מצוקה
common_voice_he_41616760	מה ש שמעתי ו מה ש קבלנו ה החלטה של בית ה משפט	מה ש שמעתי ו מה ש קבלנו ה החלטה של בית ה משפט
common_voice_he_41616761	ה מוזיקה ה אמנות ה פלסטית ה מחול ה ספרות ה שירה	ה מוזיקה ה אמנות ה פלסטית ה מחול ה ספרות ה שירה
common_voice_he_41616762	אז אני אומר ה הצעה היא הצעה	אז אני אומר ה הצעה היא הצעה
common_voice_he_41616770	ב שדרות רחמנא ל יצלן אולי תתנו להם פעם תשובה	ב שדרות רחמנא ל יצלן אולי תתנו להם פעם תשובה
common_voice_he_41616772	כאשר חזרו ראשוני ה ציונות אל ה רעיון ה ציוני	כאשר חזרו ראשוני ה ציונות אל ה רעיון ה ציוני
common_voice_he_41616788	ראשון ל ציון ו אשדוד ישלמו פחות ירושלים	ראשון ל ציון ו אשדוד ישלמו פחות ירושלים
common_voice_he_41616790	אני מוכן ללמד אותך את ה היסטוריה של נגבה	אני מוכן ללמד אותך את ה היסטוריה של נגבה
common_voice_he_41616792	רציניים ו חשובים אפלו הוצאו מה תכנית ה כלכלית	רציניים ו חשובים אפלו הוצאו מה תכנית ה כלכלית
common_voice_he_41616807	הוא אמר אני לא משתתף ב מערכת ה בחירות	הוא אמר אני לא משתתף ב מערכת ה בחירות
common_voice_he_41616808	למה ש לא תלך לישן	למה ש לא תלך לישן
common_voice_he_41616809	אני כרגע משאיר מה ש לא קשור ל דוח	אני כרגע משאיר מה ש לא קשור ל דוח
common_voice_he_41616811	עקרונית אם אשה מבקשת לסים הריון	עקרונית אם אשה מבקשת לסים הריון
common_voice_he_41486343	אני מעדיף ש זה יעשה מתוך הבנה	אני מעדיף ש זה יעשה מתוך הבנה
common_voice_he_41486344	כמו ש כבר דבר ב עקר מסים עקיפים	כמו ש כבר דבר ב עקר מסים עקיפים
common_voice_he_41486345	ב שעה חמש תפתח ה ישיבה ה מיחדת ל זכרו של יצחק רבין	ב שעה חמש תפתח ה ישיבה ה מיחדת ל זכרו של יצחק רבין
common_voice_he_41486346	אקמול צנון עם קוקטיל של סטרואידים ל הורדת ה חם	אקמול צנון עם קוקטיל של סטרואידים ל הורדת ה חם
common_voice_he_41486347	לוחשים אומרים ה קואליציה סיעה קואליציה סיעה	לוחשים אומרים ה קואליציה סיעה קואליציה סיעה
common_voice_he_41486353	ו לא רק מטרות מונטריות ו מטרות כלכליות	ו לא רק מטרות מוניטריות ו מטרות כלכליות
common_voice_he_41486354	אבל אין בעיה להתאכזב גם מכם	אבל אין בעיה להתאכזב גם מכם
common_voice_he_41486355	כי תמות נפשי עם פלשתים זה מול ה אויב	כי תמות נפשי עם פלישתים זה מול ה אויב
common_voice_he_41486356	הוא יהודי מה ש נקרא ב שפתנו עויבד	הוא יהודי מה ש נקרא ב שפתנו אבד
common_voice_he_41486357	שרפרף גבוהה יכול לשמש גם כ שלחן	שרפרף גבוה יכול לשמש גם כ שלחן
common_voice_he_41486358	ב אפן מבקר ב אפן סדיר ב אפן מקצב	ב אפן מבקר ב אפן סדיר ב אפן מקצב
common_voice_he_41486359	מ אמא אני מקבלת מכתבים כ סדר	מ אמא אני מקבלת מכתבים כ סדר
common_voice_he_41486360	אני לא יודע אם אנחנו נצטרף ל קואליציה ה חדשה	אני לא יודע אם אנחנו נצטרף ל קואליציה ה חדשה
common_voice_he_41486361	ה אלטרנטיבה היא ברורה ו אנחנו נקלע ל הדרדרות	ה אלטרנטיבה היא ברורה ו אנחנו נקלע ל הדרדרות
common_voice_he_41486362	עטרת זקנים בני בנים ו תפארת בנים אבותם	עטרת זקנים בני בנים ו תפארת בנים אבותם
common_voice_he_41486368	כמה עולה ה מוצר ה זה	כמה עולה ה מוצר ה זה
common_voice_he_41486369	כי בתם חמש דקות מ צלצול אנחנו מצביעים	כי בתם חמש דקות מ צלצול אנחנו מצביעים
common_voice_he_41486370	מישור ה דיון הוא מה קורה ב מאבקים פוליטיים	מישור ה דיון הוא מה קורה ב מאבקים פוליטיים
common_voice_he_41486371	אבל הרבה אנשים ב ימין דוקא חושבים כך	אבל הרבה אנשים ב ימין דוקא חושבים כך
common_voice_he_41486372	תקימנה דיאלוג פתוח ו מעמיק אשר יאפשר להן להבריא פצעים ש נותרו פתוחים עשרות שנים	תקימנה דיאלוג פתוח ו מעמיק אשר יאפשר להן להבריא פצעים ש נותרו פתוחים עשרות שנים
common_voice_he_41486373	הודיעה חברת ה אפנה ה ישראלית רנואר ש קירל היא ה פרזנטורית ה מוזיקלית ה חדשה שלהם	הודיעה חברת ה אפנה ה ישראלית רנואר ש קירל היא ה פרזנטורית ה מוזיקלית ה חדשה שלהם
common_voice_he_41486374	כפל אגרה עשרים ו שלוש אלף שקל	כפל אגרה עשרים ו שלוש אלף שקל
common_voice_he_41486375	ל כזה שפל מדרגה לא רק מוסרי	ל חזה שפל מדרגה לא רק מוסרי
common_voice_he_41486376	כי אם יש אחרית ו תקותך לא תכרת	כי אם יש אחרית ו תקותך לא תכרת
common_voice_he_41486377	זה נותן תעסוקה ל לא מעט אנשים	זה נותן תעסוקה ל לא מעט אנשים
common_voice_he_41486383	כש אני נכנסת ל חנות ספרים ו אני קונה ספר בודד	כש אני נכנסת ל חנות ספרים ו אני קונה ספר בודד
common_voice_he_41486384	ה בנקים אמרו אנחנו מוכנים להסדיר זאת ב עצמנו	ה בנקים אמרו אנחנו מוכנים להסדיר זאת ב עצמנו
common_voice_he_41486385	כי אוי ו אבוי אם יפגע אחת מה אלמנטים ה דתיים ש עליהם מרכבת ירושלים	כי אוי ו אבוי אם יפגע אחת מה אלמנטים ה דתיים ש עליהם מרכבת ירושלים
common_voice_he_41486386	זו ה קצבה ה יחידה ש יכולה לתת ל פרפלגים	זו ה קצבה ה יחידה ש יכולה לתת ל פרפלגים
common_voice_he_41486387	כי אדם ש חי נגיד מ קצבת בטוח ל אמי ו הוא שוכר דירה ב שוק ה חפשי	כי אדם ש חי נגיד מ קצבת בטוח ל אמי ו הוא שוכר דירה ב שוק ה חפשי
common_voice_he_41605155	אפלו ה אויב כבר לא מבצר מאחורי שלוש קוי הגנה סוריים	אפלו ה אויב כבר לא מבצר מאחורי שלוש קוי הגנה סורים
common_voice_he_41605156	ה שבוע קבלתי מכתב מרעיתו ו הזדעזעתי ל שמע שה איש	ה שבוע קבלתי מכתב מרעיתו ו הזדעזעתי ל שמע שה איש
common_voice_he_41605157	עטרת תפארת שיבה ב דרך צדקה תמצא	עטרת תפארת שיבה ב דרך צדקה תמצא
common_voice_he_41605158	כש יצאתי מה מערה ה שמש היתה כל כך חזקה ש לא יכלתי לנשם	כש יצאתי מה מערה ה שמש היתה כל כך חזקה ש לא יכלתי לנשם
common_voice_he_41605159	שנויים ו שפורים משמעותיים ל טובת חילי ה מלואים	שנויים ו שפורים משמעותיים ל טובת חילי ה מלואים
common_voice_he_41605160	ל דעתי יש ב זה פתיחת פתח ל הרבה עתירות	ל דעתי יש ב זה פתיחת פתח ל הרבה עתירות
common_voice_he_41605161	פעלות ש התכוננו להן לא יצאו ל פעל	פעלות ש התכוננו להן לא יצאו ל פעל
common_voice_he_41605162	אולי באמת נתחיל מה נתונים ה לא קלים ב נושא ה זה	אולי באמת נתחיל מה נתונים ה לא קלים ב נושא ה זה
common_voice_he_41605163	לא מוסיפה ל שפור ב מצב מחירי ה ברזל	לא מוסיפה ל שפור ב מצב מחירי ה ברזל
common_voice_he_41605164	לפני כ שלוש שבועות אנחנו קימנו דיון ב ועדה ל מעמד ה אשה	לפני כ שלוש שבועות אנחנו קימנו דיון ב ועדה ל מעמד ה אשה
common_voice_he_41605165	ו אנחנו ה רסרים או ה רבטים או ה סמלים	ו אנחנו ה רסארים או ה רבתים או ה סמלים
common_voice_he_41605168	הרי זה צריך לתת אולי תשובה יותר נכונה ב תקציב ה בא	הרי זה צריך לתת אולי תשובה יותר נכונה ב תקציב ה בא
common_voice_he_41605169	האם למשל להעביר אדמות ל תושבים ה ערבים זה ציוני או לא ציוני	האם למשל להעביר אדמות ל תושבים ה ערבים זה ציוני או לא ציוני
common_voice_he_41605170	כך ש חלק מה פערים תקנו הלכה למעשה	כך ש חלק מה פערים תקנו הלכה למעשה
common_voice_he_41605171	בוקעות בהמיות ו אלימות מה סוג שמ קצתו תאר דרך מקרה פרטי	בוקעות בהמיות ו אלימות מה סוג שמ קצתו תאר דרך מקרה פרטי
common_voice_he_41605172	קוקטיל תרופות יכול להביא ל שפור ה אפקטיביות של טפול מונע דכאון	קוקטיל תרופות יכול להביא ל שפור ה אפקטיביות של טפול מוני ה דכאון
common_voice_he_41605173	ה הפחתה תסתכם ב כעשרים ו שלוש אגורות ו היא נכנסה לתקף אמש ב חצות	ה הפחתה תסתכם ב כעשרים ו שלוש אגורות ו היא נכנסה לתקף אמש ב חצות
common_voice_he_41605176	הם העסיקו עובדים זרים לא חקיים	הם העסיקו עובדים זרים לא חקיים
common_voice_he_41605177	התגלו סגלותיו כ מארג ש נחשף אט אט יפי תארו	התגלו סגלותיו כ מארג ש נחשף אט אט יפי תארו
common_voice_he_41605178	סמל אינו זר ל תבונה	סמל אינו זר ל תבונה
common_voice_he_41605179	זה בלתי אפשרי גם מ בחינת בעלויות ב קרקע ו גם מ בחינת ה טופוגרפיה	זה בלתי אפשרי גם מ בחינת בעלויות ב קרקע ו גם מ בחינת ה טופוגרפיה
common_voice_he_41605180	אנו מזהירים מפני ה סכנה שב חפירות ה מתבצעות לאחרונה מתחת ל מסגד אל אקצא ל ארך רשת מנהרות	אנו מזהירים מפני ה סכנה שב חפירות ה מתבצעות לאחרונה מתחת ל מסגד אל אקצא ל ארך רשת מנהרות
common_voice_he_41605181	מי ש בונה בטונדות הוא ה צד ה חלש	מי ש בונה בטונדות הוא ה צד ה חלש
common_voice_he_41605183	ה פתרון ה מעדף הוא חנוך חנם ל גיל ה רך	ה פתרון ה מעדף הוא חנוך חנם ל גיל ה רך
common_voice_he_41605184	ישאר שם ב מעקב ו יעלה ל דיון רק ב עת הצרך	ישאר שם ב מעקב ו יעלה ל דיון רק ב עת הצרך
common_voice_he_41605185	הרבה אנטנות קטנות או אנטנה אחת גדולה	הרבה אנטנות קטנות או אנטנה אחת גדולה
common_voice_he_41605186	אם ה דגם ה זה יעבר ל ערים אחרות	עם ה דגם ה זה יעבר ל ערים אחרות
common_voice_he_41605188	אלא ב שמור מרכזי כוח מסימים ב מערכות ה שלטון	אלא ב שמור מרכזי כוח מסימים ב מערכות ה שלטון
common_voice_he_41605190	אני בעד חזוק מזרח ירושלים כלה ב כל מקום ש בו נמצא	אני בעד חזוק מזרח ירושלים כלה ב כל מקום ש בו נמצא
common_voice_he_41605191	אז איך הייתי יכולה לשלם עבור טפול ב חרדה	אז איך הייתי יכולה לשלם עבור טפול ב חרדה
common_voice_he_41605192	כי פארק תעשיה קיסריה נבנה ב שטח ללא שפוט	כי פארק תעשיה קיסריה נבנה ב שטח ללא שפוט
common_voice_he_41605193	בפרט ב עברות מין ו גם ב ענין אלימות	בפרט ב עברות מין ו גם ב ענין אלימות
common_voice_he_41605194	ה מופתי ה זה עכשו דבר נגד ה יהוד	ה מופתי ה זה עכשו דבר נגד ה יהוד
common_voice_he_41605195	ו הבנתי גם ש ועדת ה חנוך הולכת להתכנס ל דיון	ו הבנתי גם ש ועדת ה חנוך הולכת להתכנס ל דיון
common_voice_he_41605196	כדי שב בוא ה עת כאשר יתבררו ה עבדות	כדי שב בוא ה עת כאשר יתבררו ה עבדות
common_voice_he_41605197	נובמבר ו לפעמים מחסנים גם ב חדש דצמבר	נובמבר ו לפעמים מחסנים גם ב חדש דצמבר
common_voice_he_41605199	ש כבר מזמן פסקו מ להשמע ב היסטוריה ה אנושית	ש כבר מזמן פסקו מ להשמע ב היסטוריה ה אנושית
common_voice_he_41605200	כי אי אפשר ל גמר עם אי אפשר להכניע עם שלם בכוח ה כדורים וב רצח וב הרג	כי אי אפשר ל גמר עם אי אפשר להכניע עם שלם בכוח ה כדורים וב רצח וב הרג
common_voice_he_41605201	כ תוצאה מה פיצוץ נפצע ב ארח בינוני ה מאבטח	כ תוצאה מה פיצוץ נפצע ב ארך בינוני ה מאבטח
common_voice_he_41605202	עם איזו יזמה חדשה ש מטרתה אחת	עם איזו יזמה חדשה ש מטרתה אחת
common_voice_he_41605203	אני סבור שה נושא מעלה שלל קשיים	אני סבור שה נושא מעלה שלל קשיים
common_voice_he_41605204	ה מנהיג ה לובי מעמר קדאפי ידוע ב עמדותיו	ה מנהיג ה לובי מעמר קדאפי ידוע ב עמדותיו
common_voice_he_41605205	ה מחירים עדין גבוהים ו לוקח זמן לטפל ב זה	ה מחירים עדין גבוהים ו לוקח זמן לטפל ב זה
common_voice_he_41605206	לא יבואו גויים ו זרים ב חלקנו וב אדמתנו	לא יבואו גויים ו זרים ב חלקנו וב אדמתנו
common_voice_he_41605208	אני מניח ש גם הוסר ספק לגבי הצבעות ידניות ל עתיד ה קרוב	אני מניח ש גם הוסר ספק לגבי הצבעות ידניות ל עתיד ה קרוב
common_voice_he_41605209	ש גם בה הוא לא יטל עוד חלק	ש גם בה הוא לא יטל עוד חלק
common_voice_he_41605211	אז ירושלים שואלת ב צדק למה לא אני	אז ירושלים שואלת ב צדק למה לא אני
common_voice_he_41605212	צמצום ה מגזר ה צבורי הקטנת נטל ה מס	צמצום ה מגזר ה צבורי הקטנת נטל ה מס
common_voice_he_41605213	ב דרך כלל אומרים מה ה מציעים מציעים	ב דרך כלל אומרים מה ה מציעים מציעים
common_voice_he_41605214	לב יודע מרת נפשו וב שמחתו לא יתערב זר	לב יודע מרת נפשו וב שמחתו לא התערב זר
common_voice_he_39326813	אפרים רוצה אני להגיד משהו	אפרים רוצה אני להגיד משהו
common_voice_he_39326815	משום שב ענינים מן ה סוג ה זה אין שמש ב גבעון דם ו ירח ב עמק אילון	משום שב ענינים מן ה סוג ה זה אין שמש ב גבעון דם ו ירח ב עמק אילון
common_voice_he_39326816	לא ידענו מה לעשות	לא ידענו מה לעשות
common_voice_he_39326817	ראיתי שה כל חי ו צוהל לקראת ה יום ה זה ה יום ה אחת ב כל ה חרף	ראיתי שה כל חי ו צוהל לקראת ה יום ה זה ה יום ה אחת ב כל ה חרף
common_voice_he_39326818	יתכן ש אמונתי ב כל זאת עמקה	יתכן ש אמונתי ב כל זאת עמקה
common_voice_he_39326825	אין רואים כלל את ה בחור	אין רואים כלל את ה בחור
common_voice_he_39326826	עתה אין לי כלום ב עולם אין לי דבר	אתה אין לי כלום ב עולם אין לי דבר
common_voice_he_39326827	לפני כ שבועים גלינו לוח אבן ש חקוק עליו ב כתב צידוני תרשים של מקדש	לפני כ שבועים גלינו לוח אבן ש חקוק עליו ב כתב צידוני תרשים של מקדש
common_voice_he_39326828	שאינם נחקקים ב אפן חקתי ו אשר לעתים קרובות הם הזויים	שאינם נחקקים ב אפן חקתי ו אשר לעתים קרובות הם הזויים
common_voice_he_39326830	אני אסים בעוד תכנית סטירית ראלית	אני אסים בעוד תכנית סטירית ראלית
common_voice_he_39326852	התחילה רכיבה ב מלא מובן ה מלה	התחילה רכיבה ב מלוא מובן ה מלה
common_voice_he_39326853	ה יהודי ה פרטיקולרי הוא ה יהודי ש קבל תורה מ סיני ו מקים מצוות	ה יהודי ה פרטיקולרי הוא ה יהודי ש קבל תורה מ סיני ו מקים מצוות
common_voice_he_39326854	זמן רב לא כתבתי	זמן רב לא כתבתי
common_voice_he_39326855	ה מורים חשבו כי הרגו את ה מחלקה	ה מורים חשבו כי הרגנו את ה מחלקה
common_voice_he_39326856	בוא אחרי ל חפירות כלם משתגעים מ שמחה	בוא אחר ל חפירות כלם משתגעים מ שמחה
common_voice_he_39326862	זר אני ל אנשים אולם קרוב אני ל אדמה	זר אני ל אנשים אולם קרוב אני ל אדמה
common_voice_he_39326863	אבל לפעמים אני חושבת ש הייתי יכולה לנצל שנה זו ל למודים יותר חשובים	אבל לפעמים אני חושבת ש הייתי יכולה לנצל שנה זו ל למודים יותר חשובים
common_voice_he_39326864	תנו לו לדבר ל כל ה רוחות	תנו לו לדבר ל כל ה רוחות
common_voice_he_39326865	אין מלים ב פי למסר את ה הרגשות ש עוררו בי ה דרך וה אוטובוס ל עמק	אין מלים ב פי למסר את ה רגשות ש עוררו בי ה דרך וה אוטובוס ל עמק
common_voice_he_39326866	וה בעיה ה קשה היא ש הוא ה שחקן ה חזק ביותר	וה בעיה ה קשה היא ש הוא ה שחקן ה חזק ביותר
common_voice_he_39327003	ול חדל מ ספינים פוליטיים נכלוליים ל שנוי שיטת ה ממשל	ול חדל מ ספינים פוליטיים נכלוליים ל שנוי שיטת ה ממשל
common_voice_he_39327004	אין הוא יכול לחכות יותר	אין הוא יכול לחכות יותר
common_voice_he_39327005	הרי אין דגמה אחת ב עולם ל כך שב זמן מתון הורדת מסים יצרה צמיחה	הרי אין דגמה אחת ב עולם ל כך שב זמן מתון הורדת מסים יצרה צמיחה
common_voice_he_39327006	כל ה אחים ב משפחה נראים כמו תאומים אחת של ה שני	כל ה אחים ב משפחה נראים כמו תאומים אחת של ה שני
common_voice_he_39327007	מה ש קורה ב ספרד מה ש קורה ב איטליה	מה ש קורה ב ספרד מה ש קורה ב איטליה
common_voice_he_39327020	זה ה קשי ה יחידי ה יחידי כן סבורה אני	זה ה קשי ה יחידי ה יחידי כן סבורה אני
common_voice_he_39327022	אולי נלך לעשות איזה טיול קצר ב נחל	אולי נלך לעשות איזה טיול קצר ב נחל
common_voice_he_39327024	לי לא שחק ה מזל ב אמריקה כלום אתה יודע עם מי הנך מדבר	לי לא שחק ה מזל ב אמריקה כלום אתה יודע עם מינך מדבר
common_voice_he_39327025	כאשר עמדנו מול יתרון ב כמויות ה נשק וה חילים	כאשר עמדנו מול יתרון ב כמויות ה נשק וה חילים
common_voice_he_39327027	אנחנו רוצים לאפשר ל פלסטינים חפש פלחן ב הר ה בית	אנחנו רוצים לאפשר ל פלסטינים חפש פלחן ב הר ה בית
common_voice_he_39327033	חמוציות זה ל ארועים מיחדים	חמוציות זה ל ארועים מיחדים
common_voice_he_39327038	אך איש לא יפנה מבטו אל עברי	אך איש לא יפנה מבטו אל עברי
common_voice_he_39327040	כל שנה הביאה לו פרחים יפהפיים	כל שנה הביאה לו פרחים יפהפיים
common_voice_he_39327041	מן טבריה ה עיר ו עד ל דרך ה צדדית ה מתרוממת לבין ה הרים ש בתוכם שכן ה כפר	מן טבריה ה עיר ו עד ל דרך ה צדדית ה מתרוממת לבין ה ערים שב תוכם שכן ה כפר
common_voice_he_39327047	הוא מוביל אותי ל צד ה נהר ה שקט	הוא מוביל אותי ל צד ה נהר ה שקט
common_voice_he_39327048	מפני רגע זה אני פוחדת מאוד מודה אני ב גלוי	מפני רגע זה אני פוחדת מאוד מודה אני ב גלוי
common_voice_he_39327049	בוא אתי בוא אתי	בוא אתי בוא אתי
common_voice_he_39327050	שלוש עשרה מועצות מקומיות ו ארבע עיריות	שלוש עשרה מועצות מקומיות ו ארבע עיריות
common_voice_he_39327051	ה תכנית ה זאת עדין לא נכנסה כלל לתקף	ה תכנית ה זאת עדין לא נכנסה כלל לתקף
common_voice_he_39327063	זורחים עוד כוכבים	זורחים עוד כוכבים
common_voice_he_39327065	אתה צריך להבין כי אין ה אנשים ה מחפשים יהלומים כ שאר בני ה אדם	אתה צריך להבין כי אין ה אנשים ה מחפשים יהלומים כ שאר בני אדם
common_voice_he_39327066	פתאום התעורר כלו נפחד כש ידו ה אחת מגרדת את ה חזה ו שואל מה ה שעה	פתאום התעורר כלו נפחד כש ידו ה אחת מגרדת את ה חזה ו שואל מה ה שעה
common_voice_he_39327068	אין גויים ב ארץ ישראל אמר אמנון ו אין אנו מפחדים מפני גויים	אין גויים ב ארץ ישראל אמר אמנון ו אין אנו מפחדים מפני גויים
common_voice_he_39327081	ו אני רוצה לתת דגמה מ מכתב ש הנח על שלחני ה יום	ו אני רוצה לתת דגמה מ מכתב ש הנח על שלחני ה יום
common_voice_he_39327082	אני אומרת תמיד ש לא ו זאת אמת	אני אומר את תמיד ש לא ו זאת אמת
common_voice_he_39327084	מכיון ש אני כותבת יומן ול יומן מתאים ל כתב על עניני בחורים אכתב חדשות	מכיון ש אני כותב את יומן ול יומן מתאים ל כתב על עניני בחורים אכתב חדשות
common_voice_he_39327085	כי הוא קים ב הקפים רחבים ביותר	כי הוא קים ב הקפים רחבים ביותר
common_voice_he_39327091	אפלו לי ש אני רק חדשים אחדים חיה ב צורה זו	אפלו לי ש אני רק חדשים אחדים חיה ב צורה זו
common_voice_he_39327092	ו הבהרתי שה כונה היא ליצר מסגרת קבועה	ו הבהרתי שה כונה היא ליצר מסגרת קבועה
common_voice_he_39327093	כן חפשתי יהלומים	כן חפשתי יהלומים
common_voice_he_39327094	חדר שה מים דולפים בו ב ארבע מקומות	חדר שה מים דולפים בו ב ארבע מקומות
common_voice_he_39327095	כל ה לילה ישבנו בתוך ה יער הוסיף יוסי לספר	כל ה לילה ישבנו בתוך ה יער הוסיף יוסי לי לספר
common_voice_he_39327096	יש חכמים ה נשמרים מ סמלים	יש חכמים ה נשמרים מ סמלים
common_voice_he_39327097	ו זה כמעט נכון הן תמיד חייתי בין יהודים	ו זה כמעט נכון הן תמיד חייתי בין יהודים
common_voice_he_39327098	אתמול היתה ב ביתנו חנכת חדר ה קריאה	אתמול היתה ב ביתנו חנכת חדר ה קריאה
common_voice_he_39327099	נכנסנו ל מסעדה ו אכלנו שם ארוחת בקר	נכנסנו ל מסעדה ו אכלנו שם ארוחת בקר
common_voice_he_39327100	ל דני קראו דין דין דני	ל דני קראו דין דין דני
common_voice_he_39327103	ה מורים יוצאים מ חוץ ל עיר ו מחפשים	ה מורים יוצאים מ חוץ ל עיר ו מחפשים
